team,total_games,games_won,home_win_margin,away_win_margin
West Indies,106,53,20,47
Sri Lanka,118,74,61,63
Australia,128,85,63,73
South Africa,133,94,46,43
England,104,52,71,46
New Zealand,120,55,54,46
Zimbabwe,116,32,63,18
Kenya,32,4,174,63
United Arab Emirates,3,0,0,0
Netherlands,4,0,0,0
Pakistan,130,70,41,42
India,158,81,47,46
Bangladesh,48,3,102,8
Scotland,3,0,0,0
Canada,4,0,0,0
United States of America,1,0,0,0
ICC World XI,0,0,0,0
Africa XI,0,0,0,0
Asia XI,0,0,0,0
Namibia,0,0,0,0
Hong Kong,0,0,0,0
